election_year,state_abbrev,district_code,bioname,nominate_dim1,rep_share_house,rep_share_pres,party,republican
2016,AL,3,"ROGERS, Mike Dennis",0.353,67.02312068165728,66.90573770491804,Republican,1
2016,AL,7,"SEWELL, Terri",-0.39,NA,29.0650406504065,Democrat,0
2016,AL,2,"ROBY, Martha",0.361,54.61524445794109,66.29213483146069,Republican,1
2016,AL,5,"BROOKS, Mo",0.645,66.79431338731523,67.39583333333334,Republican,1
2016,AL,1,"BYRNE, Bradley",0.609,NA,65.06147540983606,Republican,1
2016,AL,6,"PALMER, Gary James",0.711,74.55823622736473,73.06501547987617,Republican,1
2016,AL,4,"ADERHOLT, Robert",0.367,NA,82.20858895705521,Republican,1
2016,AK,1,"YOUNG, Donald Edwin",0.284,58.28031581281214,58.36177474402731,Republican,1
2016,AZ,8,"FRANKS, Trent",0.749,NA,61.09358569926393,Republican,1
2016,AZ,3,"GRIJALVA, Raúl M.",-0.599,NA,34.24657534246576,Democrat,0
2016,AZ,4,"GOSAR, Paul",0.674,71.45335220150079,71.11344537815125,Republican,1
2016,AZ,6,"SCHWEIKERT, David",0.593,62.13029058943916,55.27426160337553,Republican,1
2016,AZ,9,"SINEMA, Kyrsten",-0.102,39.058416394801824,41.24597207303974,Democrat,0
2016,AZ,2,"McSALLY, Martha",0.345,56.95849264601066,47.40190880169672,Republican,1
2016,AZ,7,"GALLEGO, Ruben",-0.45,24.74693072799542,23.940677966101703,Democrat,0
2016,AZ,5,"BIGGS, Andrew S.",0.882,64.09516312428934,61.211477151965994,Republican,1
2016,AZ,1,"O'HALLERAN, Thomas C.",-0.183,46.1218196420724,50.583244962884415,Democrat,0
2016,AZ,8,"LESKO, Debbie",0.605,NA,61.09358569926393,Republican,1
2016,AR,1,"CRAWFORD, Rick",0.408,NA,68.27731092436974,Republican,1
2016,AR,3,"WOMACK, Steve",0.353,NA,66.99134199134198,Republican,1
2016,AR,2,"HILL, French",0.453,61.313533852872816,55.685441020191284,Republican,1
2016,AR,4,"WESTERMAN, Bruce Eugene",0.548,NA,67.22513089005236,Republican,1
2016,CA,12,"PELOSI, Nancy",-0.49,NA,9.167544783983146,Democrat,0
2016,CA,48,"ROHRABACHER, Dana",0.626,58.31973526186622,49.096705632306055,Republican,1
2016,CA,28,"SCHIFF, Adam",-0.349,22.013320562555236,23.622881355932208,Democrat,0
2016,CA,49,"ISSA, Darrell",0.506,50.26132095242701,46.00638977635783,Republican,1
2016,CA,53,"DAVIS, Susan A.",-0.343,32.99074610379989,31.455897980871413,Democrat,0
2016,CA,22,"NUNES, Devin",0.449,67.56509452431416,55.01583949313622,Republican,1
2016,CA,38,"SÁNCHEZ, Linda T.",-0.508,29.52170054369836,29.025423728813564,Democrat,0
2016,CA,16,"COSTA, Jim",-0.191,41.96515754126081,38.55932203389831,Democrat,0
2016,CA,6,"MATSUI, Doris",-0.434,24.57298449958158,26.068376068376068,Democrat,0
2016,CA,9,"McNERNEY, Jerry",-0.261,42.64047726734294,40.169133192389005,Democrat,0
2016,CA,23,"MCCARTHY, Kevin",0.459,69.17511093449897,61.67728237791932,Republican,1
2016,CA,14,"SPEIER, Karen Lorraine Jacqueline (Jackie)",-0.381,19.13687348794018,19.137749737118824,Democrat,0
2016,CA,4,"McCLINTOCK, Tom",0.72,62.719885576873764,57.87781350482315,Republican,1
2016,CA,27,"CHU, Judy",-0.487,32.579638673433564,30.08474576271186,Democrat,0
2016,CA,3,"GARAMENDI, John",-0.309,40.648568293081574,43.25481798715204,Democrat,0
2016,CA,50,"HUNTER, Duncan Duane",0.539,63.451264709097515,57.961783439490446,Republican,1
2016,CA,10,"DENHAM, Jeff",0.306,51.700457408735964,48.40425531914894,Republican,1
2016,CA,37,"BASS, Karen",-0.586,NA,10.073452256033576,Democrat,0
2016,CA,1,"LaMALFA, Doug",0.533,59.053102192105364,60.62567421790723,Republican,1
2016,CA,2,"HUFFMAN, Jared",-0.425,23.149900533912188,25.243770314192844,Democrat,0
2016,CA,7,"BERA, Ami",-0.231,48.82862822526665,43.884120171673814,Democrat,0
2016,CA,8,"COOK, Paul",0.376,62.25801906302981,58.00636267232238,Republican,1
2016,CA,15,"SWALWELL, Eric",-0.368,26.233204679101178,25.717321997874592,Democrat,0
2016,CA,21,"VALADAO, David G.",0.253,56.73826354903027,41.833508956796635,Republican,1
2016,CA,26,"BROWNLEY, Julia",-0.285,39.62048753687921,38.33865814696486,Democrat,0
2016,CA,29,"CÁRDENAS, Tony",-0.382,NA,17.77777777777777,Democrat,0
2016,CA,36,"RUIZ, Raul",-0.241,37.94606585073318,45.39748953974895,Democrat,0
2016,CA,41,"TAKANO, Mark",-0.462,35.04862585709725,35.17534537725824,Democrat,0
2016,CA,47,"LOWENTHAL, Alan",-0.45,36.27855460579409,33.11965811965811,Democrat,0
2016,CA,51,"VARGAS, Juan",-0.397,27.245845111365043,24.1014799154334,Democrat,0
2016,CA,52,"PETERS, Scott",-0.177,43.474315153934434,37.99359658484525,Democrat,0
2016,CA,11,"DESAULNIER, Mark James",-0.528,27.947177985909207,24.097664543524417,Democrat,0
2016,CA,25,"KNIGHT, Steve",0.397,53.13006153292414,46.43237486687966,Republican,1
2016,CA,31,"AGUILAR, Peter Rey",-0.29,43.932461470065206,38.81230116648993,Democrat,0
2016,CA,33,"LIEU, Ted",-0.37,33.56015250485284,28.101802757157998,Democrat,0
2016,CA,35,"TORRES, Norma Judith",-0.362,27.60908767281576,28.43551797040169,Democrat,0
2016,CA,45,"WALTERS, Mimi",0.433,58.55975167468871,47.13375796178343,Republican,1
2016,CA,44,"BARRAGÁN, Nanette Diaz",-0.519,NA,12.906610703043015,Democrat,0
2016,CA,24,"CARBAJAL, Salud",-0.299,46.58091334367178,39.163090128755364,Democrat,0
2016,CA,46,"CORREA, Jose Luis",-0.28,NA,29.61783439490445,Democrat,0
2016,CA,17,"KHANNA, Rohit",-0.587,NA,21.716101694915253,Democrat,0
2016,CA,20,"PANETTA, James Varni",-0.303,29.24692424674832,24.786324786324784,Democrat,0
2016,CA,34,"GOMEZ, Jimmy",-0.595,NA,11.346765641569462,Democrat,0
2016,CA,43,"WATERS, Maxine",-0.653,23.915796570637227,17.560462670872766,Democrat,0
2016,CA,18,"ESHOO, Anna Georges",-0.381,28.854999536936987,21.58119658119658,Democrat,0
2016,CA,34,"BECERRA, Xavier",-0.512,NA,11.346765641569462,Democrat,0
2016,CA,40,"ROYBAL-ALLARD, Lucille",-0.471,NA,13.473684210526315,Democrat,0
2016,CA,39,"ROYCE, Edward Randall",0.657,57.23042936961011,45.444915254237294,Republican,1
2016,CA,42,"CALVERT, Ken",0.348,58.822118032064694,56.32911392405063,Republican,1
2016,CA,19,"LOFGREN, Zoe",-0.402,26.055567531511457,22.77542372881355,Democrat,0
2016,CA,30,"SHERMAN, Brad",-0.342,27.361608469802263,27.10970464135022,Democrat,0
2016,CA,13,"LEE, Barbara",-0.683,9.215445177795473,7.2186836518046675,Democrat,0
2016,CA,5,"THOMPSON, Michael",-0.396,23.1314898439185,25.98930481283422,Democrat,0
2016,CA,32,"NAPOLITANO, Grace Flores",-0.448,NA,29.3743372216331,Democrat,0
2016,CO,5,"LAMBORN, Doug",0.68,66.87361511148816,63.27433628318584,Republican,1
2016,CO,7,"PERLMUTTER, Ed",-0.281,41.901088929219604,43.392070484581495,Democrat,0
2016,CO,2,"POLIS, Jared",-0.278,39.51894108457933,38.30954994511525,Democrat,0
2016,CO,6,"COFFMAN, Mike",0.492,54.43951386087421,45.13661202185792,Republican,1
2016,CO,3,"TIPTON, Scott",0.447,57.50505443015876,56.52173913043478,Republican,1
2016,CO,4,"BUCK, Kenneth Robert",0.752,66.75146286894415,62.595419847328245,Republican,1
2016,CO,1,"DeGETTE, Diana",-0.432,28.99106778107783,25.162689804772242,Democrat,0
2016,CT,2,"COURTNEY, Joe",-0.344,34.73764481962202,48.46560846560847,Democrat,0
2016,CT,4,"HIMES, James A.",-0.242,40.09887253416684,38.04573804573805,Democrat,0
2016,CT,5,"ESTY, Elizabeth",-0.315,41.99959230293833,47.85788923719958,Democrat,0
2016,CT,3,"DeLAURO, Rosa L.",-0.416,30.96283270515066,41.952232606438216,Democrat,0
2016,CT,1,"LARSON, John B.",-0.398,34.49340644992819,37.93103448275861,Democrat,0
2016,DE,1,"BLUNT ROCHESTER, Lisa",-0.327,42.45383203360806,43.96642182581322,Democrat,0
2016,FL,27,"ROS-LEHTINEN, Ileana",0.244,54.893856651730935,39.8974358974359,Republican,1
2016,FL,25,"DIAZ-BALART, Mario",0.278,62.36021165692624,50.87179487179487,Republican,1
2016,FL,23,"WASSERMAN SCHULTZ, Debbie",-0.421,41.65607894460313,36.64278403275332,Democrat,0
2016,FL,14,"CASTOR, Kathy",-0.438,38.21293435623286,40.54054054054054,Democrat,0
